,,速度350km/h,,,,,,,,,速度300km/h,,,,,,,,
车站,上下行（1代表下行）,到到安全间隔,到发安全间隔,到通安全间隔,发到安全间隔,发发安全间隔,发通安全间隔,通到安全间隔,通发安全间隔,通通安全间隔,到到安全间隔,到发安全间隔,到通安全间隔,发到安全间隔,发发安全间隔,发通安全间隔,通到安全间隔,通发安全间隔,通通安全间隔
上海虹桥,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
上海,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
上海西,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南翔北,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
安亭北,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
花桥,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
昆山南,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
阳澄湖,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州园区,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州新区,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
无锡新区,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
无锡,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
惠山,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
戚墅堰,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
常州,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
丹阳,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
丹徒,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
镇江,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
宝华山,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
仙林,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南京,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南京南,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
上海虹桥,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
上海,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
上海西,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南翔北,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
安亭北,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
花桥,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
昆山南,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
阳澄湖,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州园区,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
苏州新区,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
无锡新区,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
无锡,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
惠山,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
戚墅堰,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
常州,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
丹阳,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
丹徒,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
镇江,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
宝华山,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
仙林,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南京南,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
南京,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
